"id","text","category","theme","executor"
"100","С 16 декабря 2017 года во дворе по адресу ул. Черновицкая, дом 27 корп 1, дом 27, дом 25, дом 23 отсутствует освещение - не горят уличные фонари. Обслуживающая компания ООО ""Комфорт-Плюс"" сообщили, что решение данной проблемы не входит в их обязанности и перенаправили в диспетчерскую по номеру 21-01-80, где проинформировали, что заявка была уже кем-то сделана до этого, но когда проблема будет устранена они не знают. За эти 4 дня никаких ремонтных работ произведено не было.","Дворовая территория","Благоустройство дворовых территорий","Министерство ТЭК и ЖКХ Рязанской области"
"106","Председатель правления тсж ""Сокол"" не выполняет свои полномочия. Жители 7 подъезда по ул. Зубковой 27 корп. 2 уже месяц живут без лифта (отключили,т.к. требуется замена редуктора). Предписание на замену редуктора было еще год назад,но председатель с этого момента ничего не предпринял. Жители устали подниматься пешком с детьми и колясками. За редуктор деньги так и не были проплачены председателем. Также председатель некачественно работает: во дворах грязь, детские площадки пришли в негодность (качели, горки, лавочки сломаны), в подъездах не убирают мусор и не моют полы, не проводятся косметические ремонты. Жильцы платят деньги, а их ни на что нет и поделать с этим мы ничего не можем.
Прошу разобраться в данной проблеме и привлечь к ответственности председателя тсж ""Сокол"", а также провести проверку по работе председателя (подает в квц ложную информацию по счетчикам отопления).","Многоквартирные дома","Некачественное предоставление коммунальных услуг","Госжилинспекция"
"107","При входе в подъезд перестал гореть свет, жильцы пробовали поменять сами лампочку, но не получилось  видимо повреждены провода. Помогите нам пожалуйста, очень проблематично ходить в темноте с маленьким ребенком, санками и колясками. Так еще и страшно и не безопасно!","Многоквартирные дома","Неисправное освещение в подъезде","Управление энергетики и жилищно-коммунального хозяйства"
"108","Дом не ремонтировался больше 6 лет.В последний раз ремонт был в 2005 году,когда обрушилась стена от сырости.Подъезды пришли не в пригодность,стены их обрушились,новые делать не стали.Прошу принять меры и рассмотреть дом!","Многоквартирные дома","Капитальный ремонт многоквартирного дома","Госжилинспекция"
"109","У Налоговой инспекции  по  ул.Славянский проспект не останавливается ни один транспорт.Хотя место остановки асфальтировали.Предлагаем сделать официально  остановку т.к.много пожилых людей едут в налоговую.","Остановки общественного транспорта","Отсутствие остановок общественного транспорта","Управление благоустройства города"
"110","В начале Января 2018 года, украли крышку от люка. Прошёл месяц, крышку на люк не поставили, и у люка нет даже ограждений.","Многоквартирные дома","Некачественное предоставление коммунальных услуг","Госжилинспекция"
"111","Уже больше не горят 6 фонарей по ул. Белякова, да домом 9 и за домом 10. Заявки были.","Многоквартирные дома","Состояние придомовой территории","Госжилинспекция"
"115","во дворе старые Липы с которых при ветре падают сухие ветки, создавая угрозу здоровья и жизни жильцов","Многоквартирные дома","Состояние придомовой территории","Госжилинспекция"
"117","Большая и глубокая яма на перекрестке уже долгое время.","Дороги","Повреждение или отсутствие дорожного покрытия","Министерство транспорта и автомобильных дорог Рязанской области"
"118","Возле офисного здания по адресу Право-Лыбедская улица, 27 не горят 2 фонаря уличного освещения (со стороны ул. Радищева).
Просьба исправить.
Фото https://yadi.sk/i/1Pik_irE3TJX3s","Дворовая территория","Нарушение правил благоустройства городов и поселков","Министерство ТЭК и ЖКХ Рязанской области"
"119","На тротуаре перед Музыкальным училищем регулярно паркуются автомобили. Заезжают или через бордюр со стороны остановки или через пешеходный переход со стороны ул. С. Середы.
Двигаясь по тротуару водители почему-то считают что имеют преимущество перед пешеходами и разгоняют их сигналами. Действия водителей создают опасность для пешеходов идущих по тротуару (дети, старики),  нарушают ПДД и подпадают по административную ответственность. Вызывать ГИБДД каждый раз для уборки припаркованных автомобилей проблематично. 
Предлагаю устранить возможность для совершения административного нарушения, а именно ограничить въезд на тротуар с помощью искусственных ограждений (столбы, передвижные клумбы, полусферы).
Фото https://yadi.sk/i/VK-9psu13TJXVd","Дороги","Повреждение или отсутствие ограждения автодорог","Управление благоустройства города"
"120","Не горят 2 фонаря уличного освещения рядом с домом по адресу:  ул. Кудрявцева, 31.
В данном месте находится пешеходный переход.
Фото неработающих фонарей.
https://yadi.sk/i/scNEJOju3TMNC4
https://yadi.sk/i/H1KYP2vg3TMNCG","Дворовая территория","Нарушение правил благоустройства городов и поселков","Министерство ТЭК и ЖКХ Рязанской области"
"121","Здравствуйте, мопогите пожалуйста нам вернуть речку. Дело в том, что наша деревня Ванчур находится в лесу в случае возникновения пожара негде взять воды. Люди живут круглый год, деревня жива, строят дома, разводят скатину, летом много детей. Мы гордимся что есть ветераны Великой Отечественной Войны.","Природные ресурсы и охрана окружающей среды","Охрана и использование водных ресурсов","Министерство природопользования Рязанской области"
"122","Здравствуйте, когда в нашей деревне Ванчур будет полноценный СВЕТ. Дело в том что свет нам подают 169,176,185 киловатт, а ведь мы платим как за 220 киловатт. Ведь деревня живаю, живут круглый год, люди разводят скатину, летом приезжают ещё больше народу с детьми. Не ужели наши ветераны Великой Отечественной Войны должны платить за не полноценный СВЕТ.","Многоквартирные дома","Перебои в электроснабжении","Министерство ТЭК и ЖКХ Рязанской области"
"123","По ул. Белякова, дом 20, 2.ой подъезд, течёт крыша над подъездом. Отсутствуют 3 батарейки у почтовых ящиков.","Многоквартирные дома","Прочие нарушения правил пользования жилыми помещениями","Госжилинспекция"
"124","Улицы Белякова и ул. Забайкальская не убираются. На улицах  валяются пустые бутылки, банки. Очень много мусора. Не убираются поваленные деревья, по ул. Белякова, за домами 9 и 10. За Детской школой искусств, за 28 домом, около Детского Садика.","Многоквартирные дома","Прочие нарушения правил пользования жилыми помещениями","Госжилинспекция"
"125","Нет финансирования для строительства дороги. Дорога заросла деревьями. есть самострой.","Дороги","Повреждение или отсутствие дорожного покрытия","Министерство транспорта и автомобильных дорог Рязанской области"
"127","По ул. Белякова д.20, 2.ой подъезд, в подъезде на батарейках ржавчина, грибы, свищи. Заявки в ЖЭК были многократно. Также в  подъезде уже был прорыв батареек.","Многоквартирные дома","Прочие нарушения правил пользования жилыми помещениями","Госжилинспекция"
"128","На ул. Белякова, д.20, 5.ый подъезд, на углу дома, приезжают машины торговать продуктовыми и промышленными товарами. Продавцы за собой не убирают, валются ящики, упаковка из - под товаров, очень много мусора. Дворника на этой территории нет. Кто должен убирать территорию где торгуют?","Природные ресурсы и охрана окружающей среды","Борьба с антисанитарией. Уборка мусора","Министерство природопользования Рязанской области"
"129","На ул. Белякова д.20, под домом подвал весь завален мусором. Подвал под домом никогда не убирали.","Многоквартирные дома","Прочие нарушения правил пользования жилыми помещениями","Госжилинспекция"
"130","На ул. Белякова, дом 20, 2.ой подъезд, 5 раз был прорыв канализации. Трубы в подвале никогда не меняли. Просим проверить состояние труб, чтобы избежать прорыров канализации в будущем.","Многоквартирные дома","Прочие нарушения правил пользования жилыми помещениями","Госжилинспекция"
"132","На ул. Белякова, Во дворах домов, 9, 10, 16, 17, 20 дворы не убирают. Кругом пустые бутылки, банки, и всякий мусор.","Многоквартирные дома","Прочие нарушения правил пользования жилыми помещениями","Госжилинспекция"
"133","По ул. Белякова канавы завалены мусором. Его не убирают годами.","ЖКХ","Борьба с антисанитарией, уборка мусора","Министерство ТЭК и ЖКХ Рязанской области"
"134","На ул. Белякова, у Супермаркета Сорока есть Детская площадка. Около Детской площадки вообще не убирают. Не понятно кто должен убирать территорию. Дворник , который работает в Сороке, убирает только 1 метр площади около магазина. Около Супермаркета очень много машин, они постоянно бросают упаковки от чипсов, и прочий мусор, дворник ничего не убирает.","ЖКХ","Борьба с антисанитарией, уборка мусора","Министерство ТЭК и ЖКХ Рязанской области"
"135","На ул. Белякова за 20 домом, всё заваленомусором. Видимо мусор выбрасывают из окон. Многократные заявки в Комбайнбыт-Сервис — Рязань, Белякова, результата не дают. Говорят, заявка принята, но территорию так и не убирают.","ЖКХ","Борьба с антисанитарией, уборка мусора","Министерство ТЭК и ЖКХ Рязанской области"
"136","За домом 38 по ул. Кальная уже много лет отсутствует асфальтовое покрытие дороги. В 2015 году (если не ошибаюсь) дорогу засыпали асфальтовой крошкой, но после зимы она вся уплыла. Дорога есть на карте, но воспользоваться ей, в данный момент, могут только полноприводные автомобили или грузовили. А т.к. она грунтовая то вся грязь с колес выноситься, потом, на соседние улицы.
Просьба сделать нормальную дорогу, с твёрдым покрытием.
Восстановление полноценного движения на данном участке ул. Кальной, позволило бы немного разгрузить Касимовское шоссе.
Фото дороги:
https://yadi.sk/i/1sUNS08E3UEHgf
https://yadi.sk/i/Run_JdfI3UEHhN","Дороги","Повреждение или отсутствие дорожного покрытия","Управление благоустройства города"
"137","Рядом с домом по адресу Касимовское шоссе, 21к4 находиться подстанция. Возле подстанции разбросано много различного мусора: бутылки, пакеты, ветки, автопокрышки. Просьба привести указанную территорию в порядок.
Фото прилагаю:
https://yadi.sk/i/-404G68G3UEKJW
https://yadi.sk/i/Z5hZoI4U3UEKLz","Природные ресурсы и охрана окружающей среды","Борьба с антисанитарией. Уборка мусора","Министерство природопользования Рязанской области"
"138","На Касимовском переулке за домом 9 есть небольшая зелёная зона которая вся завалена различным мусором. Просьба навести порядок и убрать мусор.
Фото прилагаю.
https://yadi.sk/i/FtFohF9Z3UGbDv
https://yadi.sk/i/v5Hz7il83UGbFA
https://yadi.sk/i/hnu_imjl3UGbFz
https://yadi.sk/i/1f5aEOuR3UGbGV
https://yadi.sk/i/Mpp_y96h3UGbHL","Природные ресурсы и охрана окружающей среды","Борьба с антисанитарией. Уборка мусора","Министерство природопользования Рязанской области"
"139","Подвальные окошки под всем домом, в ужасном состоянии. Они закрыты где плассмассой, где картоном, решётки на этих окошках, не красили никогда. Просим привести подвльные окошки в нормальное состояние. Также на углу дома, у первого подъезда, есть лестница, там раньше был вход в подвал, там всё завалено мусором, просим убрать мусор и огородить этот бывший вход.","Многоквартирные дома","Прочие нарушения правил пользования жилыми помещениями","Госжилинспекция"
"143","Прошу ограничить возможность парковки автомобилей на тротуаре на противоположной стороне от РГРТУ. На данном участке  достаточно широкий тротуар и водители автомобилей, наверное не знакомые с ПДД, двигаются и паркуют свои машины на тротуаре, тем самым нарушая правила и создавая угрозу безопасности для пешеходов.
Фото прилагаю: https://yadi.sk/i/1h0yShFF3UTSec","Дороги","Повреждение или отсутствие дорожного покрытия","Управление благоустройства города"
"145","На ул. Белякова дороги в ужасом состоянии. Дорога около 21 школы. На участке от дома 27 до Детского Садика номер 31, асфальт отсутствует. У дома 26 на углу, огромнейшая выбоина на дороге. У дома 30 А, у дома отсутствует асфальт, на дороге только камни.","Дороги","Повреждение или отсутствие дорожного покрытия","Министерство транспорта и автомобильных дорог Рязанской области"
"146","Вся улица Белякова завалена ветками, кругом поваленные деревья. За домами, за 9 домом, за 10, за 22, за 28, за Детской школой искуств. В парках.","Дворовая территория","Зеленые зоны","Главное управление архитектуры и градостроительства Рязанской области"
"147","Около помойки по на ул. Белякова дом 24, устроили Свалку. Помойку убирают, за помойкой не убирают годами. Прилегающая территория завалена мусором.","ЖКХ","Борьба с антисанитарией, уборка мусора","Министерство ТЭК и ЖКХ Рязанской области"
"148","Отсутствует освещение на проездах между улицами Бирюзова и Интернациональной вдоль домов Бирюзова д.1.к.3, Бирюзова д.1.к.8. В темное время суток без фонарика невозможно пройти. Во дворе вышеуказанных домов темно, есть освещения  только на одном подъезде дома 1к. 3, который освещает территорию вблизи подъезда. Просьба решить этот вопрос, так как это прежде всего вопрос безопасности жителей и студентов находящегося рядом колледжа электроники.","Дороги","Освещение загородных автодорог (региональных)","Министерство транспорта и автомобильных дорог Рязанской области"
"150","Добрый день! Помогите ! Дорога в Рязанском районе просто в плачевном состоянии!! Мы живём в пос.Стенькино, Рязанский район и по дороге домой проезжаем через Ровное, дорога просто ужас! Асфальт весь трещит под колёсами! Вся дорога в трещинах,как будто под асфальтом идёт землетрясение! Очень страшно и опасно ездить по такой дороге,а куда деваться? Мы работаем в Рязани и детей в школу возим каждый день!","Дороги","Повреждение или отсутствие дорожного покрытия","Министерство транспорта и автомобильных дорог Рязанской области"
"158","Прошу ограничить возможность парковать автомобили на тротуаре (установить цветочную клубму, столбик, полусферу) вдоль здания магазина ""Планета мебели"" и банк ""Вятич"" на ул. Яхонтова, д.20, д. 22. Водители вместо того чтобы парковать автомобили вдоль бордюров на дороге, заезжают на тротуар, двигаются по тротуару и паркуют автомобили с нарушением ПДД. Создавая тем самым помехи и подвергая опасности пешеходов на тротуаре.
Фото: https://yadi.sk/i/vEVVqhI83UsUvc","Дворовая территория","Проблемы свободного проезда и прохода для транспорта и  пешеходов","Главное управление архитектуры и градостроительства Рязанской области"
"160","Весь додвал под домом завален мусором. ЖЭК менял трубы в третьем подъезде, и они убрали мусор только под одним подъездом. Остальной мусор, под другими подъездами, убирать не стали. Из - за этого мусора в квартирах очень много тараканов и муравьёв. Просим привести подвал под всем домом в порядок.","Многоквартирные дома","Прочие нарушения правил пользования жилыми помещениями","Госжилинспекция"
"161","При входе в подъезд, огромная дыра в потолке, когда идёт дождь, вода попадает на провода, которые в подъезде. Также крыша над подъездом в ужаснос состоянии. Протекает крыша в том месте, где на улице расположена Газовая труба.","Многоквартирные дома","Прочие нарушения правил пользования жилыми помещениями","Госжилинспекция"
"162","За 26 домом, на ул. Белякова и около забора, пилили деревья, после этого, территория превратилась в Свалку. Спилили, ничего убирать не стали. Кругом мусор, опилки, ветки, хотя рядом находится Детский Садик номер 31. Россия, Рязань, Московский административный округ, улица Белякова, 26А.","ЖКХ","Борьба с антисанитарией, уборка мусора","Министерство ТЭК и ЖКХ Рязанской области"
"163","Улицу не убирают. Не вывозят мусор со всех помоек улицы.","ЖКХ","Борьба с антисанитарией, уборка мусора","Министерство ТЭК и ЖКХ Рязанской области"
"165","Нет оконной рамы в подъезде на 2.ом этаже.","Многоквартирные дома","Прочие нарушения правил пользования жилыми помещениями","Госжилинспекция"
"166","Летом 2017 года проводили ремонт ул. Разина: меняли асфальт на проезжей части, на тротуарах, в съездах к домам. Не знаю по какой причине, но между домами 1пр. Ломоносова д. 9/15 и 1пр. Ломоносова д.19 бордюрный камень поменяли только у дома 19. У дома 9/15 старый бордюрный камень еле-еле выступавший над старым асфальтом и отделявший проезжую часть от тротуара, после укладки нового асфальта стал вровень с уровнем проезжей части. Это такая экономия на безопасности пешеходов? Такая же ситуация и у дома 17 по ул. Разина.

Почему допустили такие ошибки и фактически лишили пешеходов тротуара?

Фотографии доступны по ссылке: https://yadi.sk/d/K0ETzHQ43VvkfU","Дворовая территория","Нарушение правил благоустройства городов и поселков","Министерство ТЭК и ЖКХ Рязанской области"
"167","В Старожиловском р-оне, в с. Асташово (Асташево) напротив обелиска Головину на полосе движения в сторону Рязани большая яма на дороге. Она никак не обозначена дорожными знаками и автомобили двигающиеся по дороге попадают в яму. Те кто успевают её заметить или снижают скорость и всё равно попадают в неё или выезжают на полосу встречного движения и подвергают опасности себя и других участников движения.
Просьба провести ремонт указанного участка дороги.","Дороги","Повреждение или отсутствие дорожного покрытия","Министерство транспорта и автомобильных дорог Рязанской области"
"169","После ремонта теплотрассы по адресу зубковой 21 и на прилегающих территориях организацией РМПТС не было восстановлено асфальтовое покрытие. Ремонт производился зимой 2017-2018г.","Дороги","Повреждение или отсутствие дорожного покрытия","Министерство транспорта и автомобильных дорог Рязанской области"
"181","Просьба скосить траву вокруг пешеходного перехода в районе домов 4 и 5 по ул. Новосёлов,  т.к. из-за неё не видно подходящих к переходу пешеходов, особенно невысокого роста - стариков и детей.","Дворовая территория","Нарушение правил благоустройства городов и поселков","Министерство ТЭК и ЖКХ Рязанской области"
"182","На Шлаковом, на мосту над Куйбышевским шоссе (ул. Халтурина или Северный переулок) несколько каменных блоков лежат на краю моста и от падения их удерживает только металлическое ограждение. Если оно в какой-то момент не выдержит, то блоки полетят на проезжающие по Куйбышевскому шоссе автомобили.
Просьба убрать их.","Городская территория","Неубранная территория (мусор/снег)","Управление благоустройства города"
"183","Надписи на здании по адресу: 6-я Линия, 6.
Просьба закрасить.","Многоквартирные дома","Несанкционированные объявления, надписи и рисунки на фасадах","Префектура Железнодорожного района"
"184","На проезжей части дороги на ул. Кальной, напротив дома 22, разбросаны старые автомобильные покрышки.
Просьба убрать мусор с дороги.","Дворовая территория","Нарушение правил благоустройства городов и поселков","Министерство ТЭК и ЖКХ Рязанской области"
"185","Надписи на гараже рядом с котельной, напротив дома Касимовское шоссе, 25/2.
Просьба закрасить.","Дворовая территория","Надписи и рисунки на заборах и дворовых сооружениях","Префектура Советского района"
"186","Необходимо скосить траву возле пешеходных переходов по адресу Северный переулок: возле остановки и около моста.","Дворовая территория","Нарушение правил благоустройства городов и поселков","Министерство ТЭК и ЖКХ Рязанской области"
"187","Глубокие ямы на дороге ул. Маяковского в районе домов 1,3, 5.","Дороги","Повреждение или отсутствие дорожного покрытия","Управление благоустройства города"
"188","Много глубоких ям на ул. Семёна Середы в районе домов 27 и 36.","Дороги","Повреждение или отсутствие дорожного покрытия","Управление благоустройства города"
"189","Много глубоких ям на проезжей части дороги на ул. Пушкина на участке от перекрёстка с ул. Татарской до перекрёстка с ул. Ленинского Комсомола.
Фото сделано возле дома Пушкина 42.","Дороги","Повреждение или отсутствие дорожного покрытия","Управление благоустройства города"
"191","Надписи на стене дома ул. Пушкина, 46.
Просьба закрасить.","Дворовая территория","Нарушение правил благоустройства городов и поселков","Министерство ТЭК и ЖКХ Рязанской области"
"192","Мусор (бутылки, пакеты) вдоль тротуара за домами 35 и 39 по ул. Пушкина.
Просьба убрать.","Дворовая территория","Нарушение правил благоустройства городов и поселков","Министерство ТЭК и ЖКХ Рязанской области"
"194","Практически во всех МФЦ города Рязани стоит один единственный терминал для оплаты услуг МФЦ (оператор Прио-Внешторгбанк). Например, для оплаты услуги стоимостью 400 руб., терминал берет комиссию 50 руб. Неплохая комиссия! И никакой альтернативы. Хотя терминалы Сбербанка на каждом углу...
Ну а где контролирующие органы? Кто то ведь разрешил устанавливать только этого оператора, да еще с такой комиссией. Кто за это ответит?","Многофункциональные центры (МФЦ)","Качество предоставления государственных (муниципальных) услуг в МФЦ","Министерство промышленности и экономического развития Рязанской области"
"196","По ул. Спортивной на полосе движения в сторону ул. Гагарина выбит асфальт вокруг люка, крышка люка находится ниже уровня дороги.
Просьба исправить.","Дороги","Повреждение или отсутствие дорожного покрытия","Управление благоустройства города"
"197","Разбитый подъезд к домам 23, 32, 36 по ул. Гагарина.","Дороги","Повреждение или отсутствие дорожного покрытия","Управление благоустройства города"
"198","Ямы на дороге во дворе дома ул. Ленинского Комсомола, 4.
Просьба отремонтировать дорогу.","Дороги","Повреждение или отсутствие дорожного покрытия","Министерство транспорта и автомобильных дорог Рязанской области"
"199","Необходимо скосить траву около Лазаревского кладбища со стороны ул. Ленинского Комсомола.","Дворовая территория","Ненадлежащий уход за зелеными насаждениями","Управление благоустройства города"
"203","В деревне несколько дней отсутствует полностью водоснабжение, нет питьевой воды. В течении месяца постоянные отключения. Обращения в обслуживающую компанию остаются без рассмотрения. Сроки подачи воды не сообщают. Просим оказать содействие в решении вопроса бесперебойной подачи воды в деревне.","Многоквартирные дома","Перебои в электроснабжении","Министерство ТЭК и ЖКХ Рязанской области"
"204","На дороге выбит асфальт вокруг люка рядом со зданием ул. Маяковского, 64","Дороги","Повреждение или отсутствие дорожного покрытия","Министерство транспорта и автомобильных дорог Рязанской области"
"205","Разбитая (отсутствуют стёкла) ООТ ""Улица Пушкина"" в сторону Центра напротив дома ул. Ленинского Комсомола, 19.
Просьба восстановить остекление.","Дворовая территория","Нарушение правил благоустройства городов и поселков","Министерство ТЭК и ЖКХ Рязанской области"
"206","На ул. Дзержинского в районе домов 56 и 51-53, возле пешеходных переходов, отсутствуют урны. Столбы и крепления для них, а самих урн нет.
Просьба установить урны.","Дворовая территория","Нарушение правил благоустройства городов и поселков","Министерство ТЭК и ЖКХ Рязанской области"
"207","Добрый день!
Хочется сказать о состоянии дорог в село Корневое: это просто ужас!!!! Сколько можно ждать асфальт? Каждый год жителей села ""кормят"" обещаниями заасфальтировать дорогу, но результатов нет. Ну и что, что проехали перед выборами президента РФ и вроде как разравняли... Какие мы молодцы... Отчитались о проделанной работе и забыли... НО!!!!! Это же не решение проблемы. В данном селе есть школа, куда привозят детей из города Скопин. Или вы думаете сделать из детей космонавтов, возя их по таким дорогам? Существующая, так сказать ""дорога"", сделана еще при царе Горохе. Разве нельзя уделить немножечко внимание небольшому поселению, положить асфальт и забыть еще лет на 10?","Дороги","Повреждение или отсутствие дорожного покрытия","Министерство транспорта и автомобильных дорог Рязанской области"
"209","Огромные ямы на дороге по адресу 1-й Осенний переулок.
Просьба провести ремонт.","Дороги","Повреждение или отсутствие дорожного покрытия","Управление благоустройства города"
"210","Заросли травы во дворе между домами 3 и 3 копр.1 по ул. Ленинского Комсомола.","Дворовая территория","Ненадлежащий уход за зелеными насаждениями","Управление благоустройства города"
"211","На ул. Связи напротив дома 22 с прошлого года яма на всю ширину проезжей части дороги. Скорее всего после какого-то ремонта коммуникаций.
Почему дорога в таком состоянии так долго?
Когда будет выполнен ремонт?","Дороги","Повреждение или отсутствие дорожного покрытия","Управление благоустройства города"
"212","После ремонта дороги в 2017 году на ул. Разина и укладки нового слоя асфальта, бордюры, отделявшие проезжую часть дороги и тротуар, в районе до 17, ""исчезли"". Уровень тротуара и дороги сровнялся. Такие тротуары небезопасны для пешеходов!
Как можно было так сделать ремонт?","Дороги","Повреждение или отсутствие тротуаров","Управление благоустройства города"
"213","Разбит асфальт на въезде во двор дома Пушкина, 38.
Просьба провести ремонт.","Дороги","Повреждение или отсутствие дорожного покрытия","Управление благоустройства города"
"215","Рязань. Очень узкий тротуар рядом с проезжей дорогой ни чем не огорожен. Зимой на этом узком тротуаре лед не чистят и там боязно ходить что бы не дай бог не упасть на проезжую часть. Если нельзя как-то расширить тротуар, то хотя бы сделайте ограждение от проезжей части. Фото прилагается.","Дороги","Повреждение или отсутствие тротуаров","Управление благоустройства города"
"220","Здравствуйте. Почему МФЦ, находящееся в здании жилого дома Солотчинское шоссе, д.2, обслуживает только юредические лица? Это довольно огромный район, чтоб лишать его жителей удобства пользоваться услугами МФЦ в шаговой доступности. На данный момент, приходится пользоваться услугами  МФЦ в центре города. Добираться туда с детьми на общественном транспорте и отстаивать километровые очереди по пол дня.","Многофункциональные центры (МФЦ)","Качество предоставления государственных (муниципальных) услуг в МФЦ","Министерство промышленности и экономического развития Рязанской области"
