"id","text","category","theme","executor"
"2167","Есть эл.столб, установленный Ряз.электросетями, подведено питание к нему. Какое проектирование и финансирование нужно ждать для одного единственного фонаря? По этой дороге ходят дети в школу, без фонарика пройти и не поломать ноги невозможно. Там сплошная грязь и ямы. Что перед каждыми выборами обещают дорогу сделать, мы уже привыкли, так и осветить ее нормально, опять целая проблема.","Городская территория","Не работает уличное освещение","Управление благоустройства города"
"2168","Здравствуйте, прошу сделать пешеходную дорожку до Новоселов, потому что там сейчас стала оживлённая дорога, а ещё вечером дорогу не видно. Просили, писали, но наши заявления остались без ответов. Большое Вам спасибо за внимание.","Дороги","Повреждение или отсутствие тротуаров","Администрация Шиловского муниципального района Рязанской области"
"2171","На фотографии видна обычная картина, которую наблюдают жители по утрам. Бачки пустые, их вывозят регулярно, а вот все что вокруг них может лежать неделями. Иногда это убирают, но потом все равно ситуация повторяется. Для начала нужно провести инструктаж мусорщикам, чтобы они не только баки опустошали, но и собирали мусор, который лежит рядом или вываливается при опустошении. Далее, нужна мусорка закрытого типа. Из нынешней мусор разлетается от ветра и собак, рядом 2 детские площадки, постоянно все в мусоре. Дорога в мусоре, дворы в мусоре.","Дворовая территория","Неубранная контейнерная площадка","Префектура Московского района"
"2172","Здравствуйте.В 2013 году году мы получили дом по ветхому жилью. Сразу начались проблемы: плесень, полы проваливались, трещины на потолке, окна плачут, котёл неправильно установлен. Вообще с домом большие проблемы. Помогите.","Многоквартирные дома","Предоставление коммунальных услуг ненадлежащего качества","Администрация Чучковского муниципального района Рязанской области"
"2173","Здравствуйте. В 2007 году я работала в ФАПе санитаркой. Меня незаконно уволили. Главный врач выплатил за апрель месяц 2007 года зарплату 600 руб. Почему не выплачивают всё остальное и не переписывают в трудовой книжке всё остальное? Я запрашивала все документы. Пожалуйста, помогите, чтобы мне выплатили за моральный ущерб, переписали акт об увольнении в трудовой книжке, что я уволена по собственному желанию и выплатили мне зарплату за май. Спасибо, надеюсь на то, что Вы мне поможете.","Трудоустройство","Нарушения оплаты труда","Министерство труда и социальной защиты населения Рязанской области"
"2176","Здравствуйте. У нас нет хороших детских площадок. А если они и появлялись, то их разбивали. У меня предложение сделать скрытые видеокамеры и тех, кто ломает детские площадки и мусорит, штрафовать. Также с футбольным полем, на котором выгуливают домашних собак.","Дворовая территория","Ямы и выбоины во дворах","Администрация Чучковского муниципального района Рязанской области"
"2178","Надписи на стене дома Касимовское шоссе, 25.
Просьба закрасить.","Многоквартирные дома","Несанкционированные объявления, надписи и рисунки на фасадах","Префектура Советского района"
"2179","Не горит фонарь уличного освещения напротив дома: ул. Горького, 50","Городская территория","Не работает уличное освещение","Управление благоустройства города"
"2180","Не горит фонарь уличного освещения над пешеходным переходом в районе дома Новая улица, 51.
Так же данный фонарь закрывают ветки дерева.","Городская территория","Не работает уличное освещение","Управление благоустройства города"
"2194","Уже несколько дней не функционирует информационное табло на остановке ""3й квартал"" по направлению в центр города.","Остановки общественного транспорта","Некачественное содержание остановок общественного транспорта","Управление благоустройства города"
"2211","У нас произошла оптимизация системы здравоохранения. Но у нас теперь нет своего родильного дома, закрыто детское отделение и сейчас нет такого врача как окулист. У меня, например, глаукома, катаракта, а у нас не к кому обратиться. Почему в районных больницах нет таких важных врачей? Мне кажется это нонсенс. Хотелось бы, чтобы Вы услышали нас. 

Ещё очень плохо освещён Сапожок. Вечером невозможно выйти. И по дорогам: одну только центральную Советскую асфальтируют каждый год.","Здравоохранение, поликлиники","Низкий уровень материально-технического обеспечения поликлиник","Администрация Сапожковского муниципального района Рязанской области"
"2213","Я проживаю в Сапожке в панельном пятиэтажном доме, он у нас такой один. Нас замучил в подвал. Просто-напросто я постоянно дышу нечистотами. Я инвалид, у меня было кровоизлияние в мозг. Никак не могу ничего добиться. 2 года назад был капитальный ремонт, но сделали его кое-как. А как в ЖЭК этот передали, стало жить совсем невыносимо.  До Рязани не могу доехать, здоровье не позволяет. Я задыхаюсь, нас травят здесь, помогите. Спасибо.","Многоквартирные дома","Предоставление коммунальных услуг ненадлежащего качества","Администрация Сапожковского муниципального района Рязанской области"
"2214","Здравствуйте, я сама из рабочего поселка Сапожок, сейчас снимаю квартиру в селе Инякино
Шиловского района, я инвалид 2 группы, у меня 10 детей, но дочь здесь в Шилово отучилась и нашла работу, хотим жить здесь. Но здесь нам жильё не дают, потому что нет прописки. Почему так? Мы же все с одной области. Прошу предоставить ответ письменно.","Социальная защита","Социальная поддержка женщин и семей, имеющих детей, в том числе многодетных семей","Администрация Шиловского муниципального района Рязанской области"
"2221","У нас нет детской площадки, куда ни обращались, ничего не делается. И лавочек нет во дворе старшему поколению негде даже присесть. Прошу прислать ответ письменно. Спасибо.","Дворовая территория","Некачественное содержание детской площадки","Администрация Шиловского муниципального района Рязанской области"
"2222","Мы живём в трёхэтажном доме и всегда сажали огородики под окошками, а теперь сказали, что это муниципальная земля, всё огородили и сказали, что там будут газоны. Ну неужели мы живем в сельской местности и не можем посадить себе зелень? 

И ещё хотелось бы, чтобы у нас в Шилове заасфальтировали нормально все дороги, а не как сейчас - мусором ямы закидали прямо в центре у магазина ""Престиж"".","Дворовая территория","Ненадлежащий уход за зелеными насаждениями","Администрация Шиловского муниципального района Рязанской области"
"2224","Прошу Вас решить нижеописанную проблему. Летом 2018 года жители улицы Подгорной заметили, что люк около дороги, в котором проходят водные коммуникации для подачи водопроводной воды в дома, повреждён. Там образовалась большая дыра. Я в устной форме несколько раз обращалась с этим вопросом в Администрацию города. Мне ответили, что скоро проблема будет решена, что при снятии покрытия дороги был повреждён люк и организация, которая будет делать дорогу, должна устранить проблему. Однако уже конец октября, начались заморозки. Дождь, листья, кучи грязи, которые находятся рядом с люком и грязь с непокрытой асфальтом дороги, с лёгкостью попадают через повреждённое отверстие в крышке люка, что может привести к повреждению водопровода и, соответственно, к ухудшению качества питьевой воды. И с наступлением холодов есть вероятность, что трубы и, следовательно, вода в них, могут замёрзнуть, и вся улица останется без доступа к воде. В связи с ограниченным временем из-за приближающихся минусовых температур, прошу в кратчайшие сроки починить крышку люка.","Дороги","Просадка люка/Незакрытый люк","Администрация Клепиковского муниципального района Рязанской области"
"2226","Здравствуйте. По  итогам  заочного  голосования  по  вопросам  повестки  дня,  поставленными  на  общем  собрании  собственников  от  16.07.2014г.  Протокол№98/1,  за  установку  ограждения  вокруг  дома  за  счет  средств  собственников  помещений  проголосовало  82.29%.  Ограждения   до  сих  пор  нет.  Наш  двор  сделался  проходным  двором,  на  детской  площадке(  которая  оставляет  желать  лучшего)  собирается  молодежь по  ночам  оставляя  после  себя  горы  мусора,    двери  и  стены  подвального  помещения  расписаны  непонятными  иероглифами.  Жильцы  хотят,  что  бы  двор  был  чистым  ухоженным,  тому  пример  соседние  дома,  и  з/п  дворника  соответствовала,  наш  получает 5000 руб.  в  месяц. Дом  за  6 лет  существования  превращается  в  бомжатник,  плиты  перед  входными  дверями  все  раскрошились,  навесов  нет,  весной  с  крыши  летят  сосульки  и  наледь.  Мы  обращались  в  УК  к  генеральному  директору  Пантюшину  Д.В.,  все  аккуратно   записал  наши  проблемы  еще  летом,  на  этом  все  дела  и  закончились.","Многоквартирные дома","Нарушение закона при ведении деятельности управляющей организации/ТСЖ","Госжилинспекция"
"2228","Просим содействия по ремонту крыши .","Многоквартирные дома","Некачественный текущий ремонт","Администрация Чучковского муниципального района Рязанской области"
"2230","Не горит фонарь уличного освещения возле здания Атрон Сити (Ленина, 21) со стороны ул. Введенской.","Дороги","Неисправное освещение на проезжей части","Управление благоустройства города"
"2231","Не горит фонарь уличного освещения  ул. Фирсова, 20.","Дороги","Неисправное освещение на проезжей части","Управление благоустройства города"
"2232","Не горят 2 фонаря уличного освещения напротив автостоянки и шиномонтажа Касимовское шоссе, 1Б","Дороги","Неисправное освещение на проезжей части","Управление благоустройства города"
"2233","Не горит фонарь уличного освещения Касимовское шоссе, 9 (Водоканал)","Дороги","Неисправное освещение на проезжей части","Управление благоустройства города"
"2234","Здравствуйте, у меня вопрос, который мучает многих женщин, как и я находящихся в декрете. До 1,5 лет поддержка осуществлялась, а с 1,5 до 3 лет пособия нет, в детский сад не берут. Я возмущена тем законом, который был принят в 2016 году о том, что дети, рожденные после сентября текущего года уже не имеют права претендовать на следующий год на место в детские сады. Просто разгрузили очереди в детские сады, что позволило чиновникам отчитаться в этом.

Я хочу предложить проект. Есть квоты для инвалидов и предприятия обязаны брать на работу какое-то количество инвалидов, они у нас защищены. Я предлагаю в случае, если женщине не предоставлено место в детском саду с полутора лет, тогда обязательно предоставлять надомную работу. В случае, если это будет законодательно утверждено, то очень облегчит нам жизнь.","Образование (школы, детские сады)","Нехватка мест в дошкольных образовательных организациях, детских садах","Управление образования и молодежной политики"
"2235","Не горят 2 фонаря уличного освещения Касимовское шоссе, 11 (Приокские электрические сети филиал Рязаньэнерго)","Дороги","Неисправное освещение на проезжей части","Управление благоустройства города"
"2237","Не горят 2 фонаря уличного освещения Касимовское шоссе, 13","Дороги","Неисправное освещение на проезжей части","Управление благоустройства города"
"2238","Не горит фонарь уличного освещения около пешеходного перехода в районе дома Новосёлов, 34","Дороги","Неисправное освещение на проезжей части","Управление благоустройства города"
"2240","Не горит фонарь уличного освещения перед пешеходным переходом в районе дома Новосёлов, 32А","Дороги","Неисправное освещение на проезжей части","Управление благоустройства города"
"2241","Рядом с домом ул.6-я Линия, 10 находится детская площадка, большая часть которой заросла травой, остались только протоптанные тропинки у качелей и песочницы.
Прошу убрать сухую траву и мусор с площадки.","Дворовая территория","Некачественное содержание детской площадки","Управление энергетики и жилищно-коммунального хозяйства"
"2243","Сколько будет экзаменов после 9 класса: 5 или 4? Поставите ли вы в парке в Шилово столики и фонари?","Образование (школы, детские сады)","Качество предоставления общеобразовательных услуг","Администрация Шиловского муниципального района Рязанской области"
"2244","Когда отремонтирую дорогу возле общежития № 2/1?","Дороги","Повреждение или отсутствие дорожного покрытия","Управление благоустройства города"
"2246","У нас нет дороги и нет водопровода.","Дороги","Повреждение или отсутствие дорожного покрытия","Администрация Шацкого муниципального района Рязанской области"
"2249","Здравствуйте, у нас нет дороги, нет водоотвода, весной мы тонем, никто нам не помогает.","Дороги","Повреждение или отсутствие дорожного покрытия","Администрация Шацкого муниципального района Рязанской области"
"2260","При всём развитии города, наши заслуженные ремесленники ютятся в старых хибарах. Не собираетесь ли Вы придумать что-то интересное, чтобы были мастерские и места продажи для того, чтобы они могли туристов обеспечивать нашей рязанской продукцией? Спасибо за внимание.","Торговля, товары, услуги","Организация и ведение торговой деятельности","Управление экономического развития"
"2262","Остановили единственные очистные сооружения, которые обслуживают весь город Скопин. Воды нет, отопления нет, всё фекалии сливаются в реку, что грозит экологической катастрофой. Незаконно сократили весь штат, который занимался механической очисткой.","Природные ресурсы и охрана окружающей среды","Загрязнение окружающей среды, сбросы, выбросы, отходы, свалки","Министерство природопользования Рязанской области"
"2273","Предложение сделать по всему городу или хотя бы на особенно загруженных участках реверсивное движение.","Дороги","Повреждение или отсутствие дорожных знаков или дорожной разметки","Управление благоустройства города"
"2290","В Лесопарке можно сделать каток, там, где была проезжая часть, а на лето вело дорожки, кабинки для переодевания и палатку с едой.","Городская территория","Условия для массового отдыха, свободный доступ к водным объектам общего пользования и их береговым полосам","Управление благоустройства города"
"2296","Я имею дачный участок в садовом товариществе ""Пищевик"", который находится на Окружной дороге 188 километра, в 100 метрах от бывшего Михайловского поста ГАИ. Сейчас там заканчивается строительство развязки, которая лишает нас выезда и въезда на дачные участки.
Очень надеемся на Вашу помощь.","Дороги","Освещение загородных автодорог (региональных)","Министерство транспорта и автомобильных дорог Рязанской области"
"2310","От переезда в сторону пивзавода очень тёмный участок, в вечернее время невозможно пройти, машины припирают прямо к забору. Просим осветить этот участок или заборчик поставить, чтобы было не так страшно ходить.","Городская территория","Не работает уличное освещение","Управление благоустройства города"
"2311","Когда отремонтируют забор у стадиона Спартак от Центрального рынка в сторону площади Мичурина?","Физическая культура и спорт","Содержание спортивных школ / стадионов","Министерство физической культуры и спорта Рязанской области"
"2317","ООО НПКФ "" КОМПЛЕКТСТРОЙСЕРВИС"". Мы не получаем зарплату с с 1.06.2018 года, нам не отдают трудовые книжки, нас не уволили и мы не работаем. Мы уже обращались в комиссию по трудовым спорам. Пожалуйста, разберитесь.","Трудоустройство","Нарушения оплаты труда","Министерство труда и социальной защиты населения Рязанской области"
"2322","Добрый вечер. Проблема заключается в распространении интернета по нашей области. Я неоднократно обращался в течение 2 лет в Ростелеком с просьбой провести мне интернет и телевидение. В то время, как у соседей справа и слева всё работает, от меня до главпочтампа всего 300 - 350 метров, но мне до сих пор это сделать не могут. Отказ за отказом, хотя я все услуги готов оплатить и даже дополнительные. Говорят, ждите, пока откажется кто-то другой, то есть новых абонентов не прибавляется. Ростелеком не заинтересован в расширении своей сети, так как является монополистом. У меня 5 детей, для обучения нужен интернет, в том числе вести электронный дневник в школе, но нет возможности им воспользоваться.","Торговля, товары, услуги","Организация и ведение торговой деятельности","Администрация Сапожковского муниципального района Рязанской области"
"2329","Здравствуйте. На улице Героев десантников дорога в ужасном состоянии, невозможно ездить, ямы огромные. Так уже несколько лет и деньги на ремонт этой дороги не выделяются. Я оставляла письмо в администрацию города Рязани, сказали, что заявка рассмотрена, но никаких действий не последовало. 

Также скажите, почему до сих пор не во всех маршрутках есть терминалы для картой? Ведь обещали уже давно и для этого поднимали оплату проезда.","Дороги","Повреждение или отсутствие дорожного покрытия","Управление благоустройства города; Управление транспорта"
"2352","Здравствуйте. У нас всё лето меняют крышу, но уже 2 месяца не проводят никакие работы. Её обшили, но железом не покрывают. Обшивка вся порвалась, когда были дожди, всё в квартиру протекло, у меня люстру разбили. Бригада говорит, что им не платят деньги. В фонде капитального ремонта говорят: ""Пишите жалобу, будем рассматривать, может быть, к новому году будем делать"". У нас очень крутая крыша, там даже летом тяжело работать, а зимой как?","Многоквартирные дома","Выполнение работ по капитальному ремонту","Фонд капитального ремонта многоквартирных домов Рязанской области"
"2353","Уже несколько лет мы обращаемся, чтобы заасфальтировали дорогу вокруг дома, потому что подъезда нет вообще, нельзя выйти из дома, всё разбито. Даже скорая не может подъехать и останавливается возле других домов. В ответах одни обещания. Ждём Вашей помощи.","Дворовая территория","Ямы и выбоины во дворах","Управление энергетики и жилищно-коммунального хозяйства"
"2354","Когда в Рязани появится памятник жертвам политических репрессий?","Культура","Организация культурно-массовых мероприятий на территории города","Управление культуры"
"2373","В нашем доме подо мной живёт инвалид детства, у неё недавно умерла мать, она не училась в школе, стоит на учёте в психбольнице, пьёт. Я переживаю, что из-за неё может произойти какая-то трагедия, например, как в Керчи, прошу обратить на неё внимание.","Социальная защита","Социальная поддержка льготных категорий граждан","Министерство труда и социальной защиты населения Рязанской области"
"2376","Когда в нашей области утвердят статус детей войны?","Социальная защита","Социальная поддержка льготных категорий граждан","Министерство труда и социальной защиты населения Рязанской области"
"2378","У нас отключили воду и холодную и горячую. Её нет уже 10 дней. Раньше вода подавалась от санатория ""Старица"", а сейчас нет. Жители двух трёхэтажных домов в итоге остались без воды. А если нет горячей воды, то и отопления. Когда решится этот вопрос? Это единственное наше жильё, мы там прописаны и хотим жить нормально.","Многоквартирные дома","Перебои/Отсутствие водоснабжения","Управление энергетики и жилищно-коммунального хозяйства"
"2386","Театральная площадь - это постоянная стоянка автомобилей. Мне кажется, там должны происходить какие-то  культурные мероприятия, связанные, с театром, музыкой. На Театральной площади люди должны отдыхать, но этого нет, детей мы туда выпустить не можем. На Новый год ставят ёлку, но под ней тоже стоят машины прямо под ветками. Вечером там собираются байкеры. Все мероприятия проходят на Почтовой, но не на Театральной. Может, стоит подумать о том, чтобы использовать площадь по назначению?","Культура","Организация культурно-массовых мероприятий на территории города","Управление культуры"
"2389","Ещё 18 октября прошлого года обращался в управление благоустройства города по поводу ямочного ремонта дороги во дворе нашего дома, так ничего и не сделали.","Дворовая территория","Ямы и выбоины во дворах","Управление энергетики и жилищно-коммунального хозяйства"
"2397","Я являюсь дольщиком ЖК ""Виктория"". Хотел бы от лица всех дольщиков поблагодарить Вас за то, что способствовали достройке нашего дома. Дом сдали в конце сентября, но, к сожалению, на этом пока все наши проблемы не закончились. С сегодняшнего дня начинается запись на просмотр квартир, но дом пока не подключен ни к чему, нет ни света, ни воды, ни газа, ни отопления. Мы не знаем как можно принимать квартиру в таком состоянии. Очень рассчитываем на дальнейшую поддержку, чтобы всем вместе довести это дело до конца, чтобы люди уже могли заселиться. В минстрой уже направили необходимые документы. Спасибо.","Права дольщиков и вопросы переселения","Нарушение прав дольщиков и соинвесторов","Министерство строительного комплекса Рязанской области"
"2408","Нужно сделать бордюр рядом с остановкой ""Кальное"" напротив магазина ""Шины"", тогда машины не будут развозить грязь на этом тротуаре. Буду очень рад, если сделаете.","Дороги","Повреждение или отсутствие ограждения автодорог","Управление благоустройства города"
"2470","Здравствуйте. Обращаюсь к Вам повторно с предложением создания в регионе объекта нового формата - интерактивного музейно-досугового цента. Будучи в своё время начальником музея военной автомобильной техники, я уже предлагал эту идею своему руководству, в подтверждение чему остались наброски. Однако, в будущем, эта идея была реализована не в Рязани, а в Подмосковье в виде парка ""Патриот"". У меня есть предложения по организации в нашем регионе ещё более интересного проекта, который будет не обременителен для бюджета, но принесёт социальную пользу, в том числе с привлечением волонтёров и людей пожилого возраста. Прошу личного приёма для детального обсуждения данного проекта.","Культура","Иные вопросы/предложения в сфере культуры","Министерство культуры и туризма Рязанской области"
"2486","Когда у нас будет экономический подъём? Все предприятия нашей области развалены, за пол года ни одного не восстановилось: Станкозавод, Рязанское мороженное и другие.","Торговля, товары, услуги","Несогласие с уровнем цен на товары и услуги","Министерство промышленности и экономического развития Рязанской области"
"2495","Недавно в Солотче открыли детскую и спортивную площадки. К половине детской площадки примыкает баскетбольная зона, у которой очень низкое ограждение, мячи за него часто перелетают, а они тяжёлые. Если такой мяч попадёт в ребёнка, он может пострадать. Можно ли что-то сделать с этим ограждением? Было бы здорово его увеличить. Спасибо.","Городская территория","Условия для массового отдыха, свободный доступ к водным объектам общего пользования и их береговым полосам","Управление благоустройства города"
"2534","Не горят 3 фонаря уличного освещения на ул. Пролетарской:
один в районе пешеходного перехода (напротив стройки жилой комплекс Достояние на Чапаева);
второй на перекрёстке ул. Пролетарской и ул. Чапаева;
третий после перекрёстка, напротив парковки.","Дороги","Неисправное освещение на проезжей части","Управление благоустройства города"
"2535","Не горят 2 фонаря уличного освещения в районе дома ул. Маяковского, 77","Дороги","Неисправное освещение на проезжей части","Управление благоустройства города"
"2536","Не горят 2 фонаря уличного освещения над пешеходными переходами напротив дома ул. Маяковского, 103","Дороги","Неисправное освещение на проезжей части","Управление благоустройства города"
"2537","Не горит фонарь уличного освещения в районе дома ул. Кудрявцева, 33","Дороги","Неисправное освещение на проезжей части","Управление благоустройства города"
"2538","Не горит фонарь уличного освещения возле дома ул. Кудрявцева, 29","Дороги","Неисправное освещение на проезжей части","Управление благоустройства города"
"2539","Не горит фонарь уличного освещения возле дома ул. Кудрявцева, 13","Дороги","Неисправное освещение на проезжей части","Управление благоустройства города"
"2540","Не горит фонарь уличного освещения возле дома ул. Кудрявцева, 11","Дороги","Неисправное освещение на проезжей части","Управление благоустройства города"
"2541","Не горят 2 фонаря уличного освещения возле здания по адресу ул. Право-Лыбедская улица, 27.
Фонари установлены со стороны ул. Радищева.","Дороги","Неисправное освещение на проезжей части","Управление благоустройства города"
"2542","Напротив остановки ""Художественный музей"" (в торону Центра) крышка люка ниже уровня дороги ул. Свободы, 56.","Дороги","Просадка люка/Незакрытый люк","Управление энергетики и жилищно-коммунального хозяйства"
"2543","Выбит асфальт вокруг люка ул. Типанова, 15","Дороги","Повреждение или отсутствие дорожного покрытия","Управление благоустройства города"
"2544","Во дворе дома 69 по ул. Гагарина кто-то самостоятельно натянул трос между деревьями. Оградив тем самым себе место под парковку на газоне. Прошу убрать цепь и установить ограждения (столбики), препятствующие заезду и парковке автомобилей на газоне.","Дворовая территория","Проблемы свободного проезда и прохода для транспорта и пешеходов","Префектура Железнодорожного района"
"2545","Надписи на стенах дома ул. Типанова, 22.
Просьба закрасить.","Многоквартирные дома","Несанкционированные объявления, надписи и рисунки на фасадах","Префектура Железнодорожного района"
"2546","Просьба убрать старые автомобильные покрышки (мусор) со двора дома ул. Дзержинского, 59","Дворовая территория","Неубранная дворовая территория (мусор/снег)","Префектура Железнодорожного района"
"2547","Просьба закрасить надписи на котельной во дворе дома Дзержинского, 59к1","Дворовая территория","Надписи и рисунки на заборах и дворовых сооружениях","Префектура Железнодорожного района"
